i need,jag behöver,,0,
jag betalar,i pay,,4,
Lilla,little,Den lilla flickan,2,
här,here,Bo här,2,
långe,tall,Den långe mannen är min chef,2,
att tycka,think / consider,Jag tycker,2,
jacka,jacket,,2,
lediga lägenheter,available apartments,,1,
ringa,call,Varför ringer hon mig inte / Why does she not call me,1,
att fråga,ask,Du frågar,1,
dåligt,bad,,1,
att åka,go / ride / drive,Jag åker,1,
jag träffar dig på restaurangen,i'll meet you at the restaurant,,1,
att tänka,think,Jag tänker,1,
ta av,take off,Ta av ytterskorna (outer shoes),1,
använd,use,,1,
kön,gender,kvänligen välj kön,1,
bygga,build,Bygger du hus?,1,
studera,study,De studerar språk tillsammans,1,
att gå,go / walk,De går,1,
smutsig,dirty,Golvet är smutsigt,1,
håll avstånd,keep distance,Här håller vi såklart avstånd till varandra,1,
jag finns där,i am there (exist),,1,
välj,choose,vänligen välj kön,1,
att bo,reside / dwell / stay / live,De bor,1,
leva,lifeve,Leva på öar / Living on islands,0,
allmän,common / general,,0,
stort,big,Björnen är ett stort djur,0,
att ta,take,Jag tar,0,
jag har ont i huvudet,my head hurts,,0,
barn är olika och växer olika.,children are different and grow differently.,,0,
giltigt,valid,,0,
dyrt,expensive,Det är väldigt dyrt / It is very expensive,0,
pants,byxor,,0,
åtminstone,at least,Åtminstone tror jag det / At least I think so,0,
att må,feel / may / might,Jag mår,0,
påträffa,find,Vi har påträffat barnet i vattnet / We have found the child in the water,0,
verkar,seem,Det verkar som att kostymen är orange,0,
vanlig|ovanlig,regular|unusual,En ovanlig fågel,0,
want,vill,,0,
slut,over / finish,Festen är slut / The party is over,0,
önskar,wish,Jag önskar mig en hund,0,
även,too / also / even,,0,
litar på,trust,Arbetarna litar inte på chefen / The workers do not trust the boss,0,
egentligen,really,Jag litar egentligen inte på honom/ I do not really trust him,0,
de skulle åka till frankrike på semester,they were going to france on holiday,,0,
jättebra,great,Det år jättebra,0,
följa,follow,,0,
grocery ,mataffären,,0,
att tro,believe,Jag tror,0,
visit,besöka,,0,
bedroom,sovrum,,0,
fortfarande,still,Han ser fortfarande inte gammal ut / He still does not look old,0,
liten,small,Jag har en liten bok,0,
i samband,in relation / regarding,,0,
yrke,profession / occupation,Vad är ditt yrke,0,
redo,ready / prepared,Rapportera redo,0,
till och med,even,Han talar till och med svenska / He even speaks Swedish,0,
omklädning,dressing,,0,
vila,rest,Jag vilar,0,
börjar,start,När börjar de?,0,
hinner ni till festen ikväll?,Will you make it in time for the party tonight?,,0,
föregående,previous / preceding,,0,
together,tillsammans,De studerar språk tillsammans,0,
would like,skulle vilja,,0,
våra grannar är artiga människor,our neighbors are polite people,,0,
sedan,then / afterwards / after / since,,0,
fördelarna är fler än nackdelarna,преимущества перевешивают недостатки,,0,
dress,klänning,,0,
nå,reach,,0,
clothes,kläder,,0,
mål,objective,Jag har bara ett mål / I only have one goal,0,
igen,again,Vi försöker igen / We try again,0,
att lära,teach,Du lär,0,
att höra,listen / hear,Du hör,0,
belopp,amount,,0,
vänster,left,,0,
att börja,start,Jag börjar,0,
fått,got / received,Vi har fått info om ett paket från Clas Ohlson till dig,0,
kom ihåg,remember,Kom ihåg att ta med dig dina skor hem,0,
flytta,move,När flyttar du ut? / When do you move?,0,
ställa,put / set,,0,
beautiful,vacker,Vilken vacker kväll,0,
ö,island,,0,
att bero,depend on,Han beror,0,
särskilt,especially,Det är viktigt särskilt för mamma,0,
innan,before,innan du går in i gymmet,0,
arbeta,work,Jag arbetade på bank förut / I used to work in a bank,0,
nästan,almost,Den är nästan röd / It's almost red,0,
vid,at,,0,
ibland,sometimes,Ibland vet jag inte varför / Sometimes I do not know why,0,
precis,just,Jag har precis ringt farfar / I've just called grandpa,0,
hit,here,Jag åker alltid hit på söndagarna / I always go here on Sundays,0,
verkligen,really,Jag tycker verkligen om min chef / I really like my boss,0,
sent,late,Nu är det för sent / Now it is too late,0,
För att kunna gå vidare,To be able to move on,,0,
var rädd om dig,take care of yourself,,0,
hospital,sjukhus,,0,
litar,trust,Jag litar på att du ger mig ett svar imorgon / I trust you will give me an answer tomorrow,0,
small,små,Ni är små flickor,0,
Gillar du att ha koll?,Do you like to keep track?,,0,
helt,completely,The dinner is completely vegetarian / Middagen är helt vegetarisk,0,
varandra,each other,Här håller vi såklart avstånd till varandra,0,
trevlig,nice,Trevlig sommar!,0,
borta,away / out / gone,Den är borta / It's gone,0,
rädda,afraid,De är rädda för vargar,0,
leta,look,Vad letar ni efter? / What are you looking for?,0,
lycka till,good luck,lycka till med utbildning,0,
i buy,jag köper,,0,
än,yet,Hon är inte pilot än / She's not a pilot yet,0,
vänlig,common,Det är en vänlig fråga,0,
faktiskt,actually,Det är faktiskt min son du pratar om / It's actually my son you're talking about,0,
säga,say,,0,
att bli,become / get / be,Ni blir,0,
snart,soon,Vakterna kommer snart / The guards are coming soon,0,
allmänhet,generally,älgar är i allmänhet vegetarianer / Moose are generally vegetarians,0,
vänligen,kindly,vänligen välj kön,0,
att få,receive / get,Jag får,0,
pågå,be going on,,0,
utrymme,space,,0,
klar,obvious / clear / bright,Rapport klar,0,
kunna,can / be able to,För att kunna gå vidare med lägenheten på...,0,
vanligtvis,usually,vanligtvis är det så / usually it's like that,0,
där borta,over there,Det står en varg där borta / There's a wolf over there,0,
trötta,tired,Vi är trötta,0,
gärna,with pleasure,Låna gärna,0,
genom,through / via,,0,
shirt,skjorta,,0,
att stå,stand,Jag står,0,
genomför,carry out,,0,
skicka,send / forward / dispatch,,0,
närvarande,currently,för närvarande går det inte / currently it is not possible,0,
att vakna,wake up,Hon vaknar,0,
värdefullt,valuable,Det är värdefullt,0,
såklart,of course,Här håller vi såklart avstånd till varandra,0,
snart,soon / shortly / before long,,0,
redan,already,Tolken är redan här / The interpreter is already herevarandra,0,
spåra,trace,,0,
stöttar,support,Prästen stöttar honom,0,
hans tal var både intressant och viktigt,his speach was both interesting and important,,0,
äntligen,finally,Äntligen är det helg / Finally it's the weekend,0,
regnar,never,Det regnar aldrig / It never rains,0,
övrig,other / remaining,,0,
lägsta,low / lowest,Är det ert lägsta pris? ,0,
sista,last / back / final,sista betalningsdag / last payday,0,
tillräckligt,enough,Han har tillräckligt med böcker / He has enough books,0,
bero,depend,,0,
vidare,further,För att kunna gå vidare med lägenheten på...,0,
att ge,give,Jag ger,0,
Låna gärna,Feel free to borrow,,0,
undrar,wonder,Jag undrar varför,0,
säng,bed,,0,
senare,later,Sekreteraren kommer senare / The secretary will come later,0,
stugor,cottages,,0,
bekväm,comfortable,Är din kostym bekväm?,0,
sällan,rarely,Hon är sällan här / She's rarely here,0,
kom,came,,0,
