kön,gender,vänligen välj kön,4,
smutsig,dirty,Golvet är smutsigt,4,
att lära,teach,Du lär,3,
snart,soon / shortly / before long,,3,
göra,do / make,Vad brukar ni göra på kvällarna / What do you usually do in the evenings,2,
arbeta,work,Jag arbetade på bank förut / I used to work in a bank,2,
igen,again,Vi försöker igen / We try again,2,
ö,island,,1,
pants,byxor,,1,
varandra,each other,Här håller vi såklart avstånd till varandra,1,
se,see,Vi ses där / See you there,1,
visit,besöka,,1,
även,too / also / even,,1,
Han verkar inte vilja lyssna,he does not seem to want to listen,,1,
var rädd om dig,take care of yourself,,1,
rädda,afraid,De är rädda för vargar,1,
vid,at,,1,
trevlig,nice,Trevlig sommar!,1,
minnas,remember,Minns du? / Do you remember?,0,
omklädning,dressing,,0,
vilken,who / which,Soldaten vet vilka de är / The soldier knows who they are,0,
bero,depend,,0,
närvarande,currently,för närvarande går det inte / currently it is not possible,0,
Gillar du att ha koll?,Do you like to keep track?,,0,
belopp,amount,,0,
pågå,be going on,,0,
misslyckas,fail,Varför misslyckas hon? / Why does she fail?,0,
nästan,almost,Den är nästan röd / It's almost red,0,
äntligen,finally,Äntligen är det helg / Finally it's the weekend,0,
innan,before,innan du går in i gymmet,0,
gärna,with pleasure,Låna gärna,0,
giltigt,valid,,0,
think / consider,att tycka,Jag tycker,0,
hospital,sjukhus,,0,
tagit,taken,mina föräldrar har tagit min säng / my parents have taken my bed,0,
dyrt,expensive,Det är väldigt dyrt / It is very expensive,0,
dress,klänning,,0,
sällan,rarely,Hon är sällan här / She's rarely here,0,
dyka upp,turn up/appear/emerge,Han dyker upp på skärmen / He appears on the screen,0,
Det blir lagom,that's enough,,0,
borta,away / out / gone,Den är borta / It's gone,0,
vidare,further,För att kunna gå vidare med lägenheten på...,0,
upplevelse, experience, upplevelser med oss / experiences with us,0,
följa,follow,Följ inte efter oss / Do not follow us,0,
little,Lilla,Den lilla flickan,0,
flytta,move,När flyttar du ut? / When do you move?,0,
farlig,dangerous,Att vara soldat är ett farligt yrke / Being a soldier is a dangerous profession,0,
stänga,close,Restaurangen har stängt / The restaurant has closed,0,
oroa,worry,Varför oroar du dig för det? / Why do you worry about that?,0,
bestämma,determine /  prescribe / decide,Han har svårt att bestämma sig / He finds it difficult to decide,0,
kom,came,,0,
spåra,trace,,0,
sista,last / back / final,sista betalningsdag / last payday,0,
de skulle åka till frankrike på semester,they were going to france on holiday,,0,
föregående,previous / preceding,,0,
att börja,start,Jag börjar,0,
liten,small,Jag har en liten bok,0,
åtminstone,at least,Vi försökte åtminstone / At least we tried,0,
verkligen,really,Jag tycker verkligen om min chef / I really like my boss,0,
grocery ,mataffären,,0,
förut,before,Har du varit här förut? / Have you been here before?,0,
hinner ni till festen ikväll?,Will you make it in time for the party tonight?,,0,
mjuk,soft,Kudden är så mjuk / The pillow is so soft,0,
Om men aldrig svarar slutar det fråga,If you never answer they stop asking,,0,
att bero,depend on,Han beror,0,
genom,through / via,,0,
på ett ställe,in one place,samla dina dokumentär på ett ställe inför resan / gather your documentaries in one place before the trip,0,
redo,ready / prepared,Rapportera redo,0,
trötta,tired,Vi är trötta,0,
önskar,wish,Jag önskar mig en hund,0,
snart,soon,Vakterna kommer snart / The guards are coming soon,0,
förlåta,forgive,Han förlåter mig aldrig / He will never forgive me,0,
komma fram,arrive,De kommer fram till Amerika / They arrive in America,0,
maten stod på bordet,the food was on the table,,0,
clothes,kläder,,0,
redan,already,Tolken är redan här / The interpreter is already herevarandra,0,
klar,obvious / clear / bright,Rapport klar,0,
ankomst och avresa,arrival and departure,,0,
jag har ont i huvudet,my head hurts,,0,
nöjd,satisfied,Varför blir hon aldrig nöjd? / Why she's never satisfied?,0,
Det räckte,It was enough,,0,
tall,långe,Den långe mannen är min chef,0,
Sätt på dig dina skor,Put your shoes on,,0,
barn är olika och växer olika.,children are different and grow differently.,,0,
värdefullt,valuable,Det är värdefullt,0,
i pay,jag betalar,,0,
ansökning,application,Jag skriver en ansökning,0,
snäll,good / kind / nice,Hon är så snäll / She's so kind,0,
börjar,start,När börjar de?,0,
siffra,figure/number,Hon lägger till fler siffror / She adds more numbers,0,
helt,completely,The dinner is completely vegetarian / Middagen är helt vegetarisk,0,
till och med,even,Han talar till och med svenska / He even speaks Swedish,0,
verkar,seem,Det verkar som att kostymen är orange,0,
vila,rest,Jag vilar,0,
nöjd,satisfied,Varför blir hon aldrig nöjd? / Why is she never satisfied?,0,
Var var du?,Where were you?,,0,
stort,big,Björnen är ett stort djur,0,
sent,late,Nu är det för sent / Now it is too late,0,
vanlig|ovanlig,regular|unusual,En ovanlig fågel,0,
kunna,can / be able to,För att kunna gå vidare med lägenheten på... / To be able to move on with the apartment on...,0,
hemskt,awful,Det var hemskt att se min son så ledsen / It was awful to see my son so sad,0,
ställa,put / set,,0,
åtminstone,at least,Åtminstone tror jag det / At least I think so,0,
att vakna,wake up,Hon vaknar,0,
available apartments,lediga lägenheter,,0,
would like,skulle vilja,,0,
jacket,jacka,,0,
bad,dåligt,,0,
hörde,hear,Jag hörde frågan men inte svaret / I heard the question but not the answer,0,
sov / sovit,slept,Har hon sovit gott i eftermiddags? / Hon sov gott i eftermiddags / Did she sleep well this afternoon?,0,
stänga,close,Vi behöver stänga dörren / We need to close the door,0,
att få,receive / get,Jag får,0,
åter,again / back,vvälcommen åter / welcome back,0,
att höra,listen / hear,Du hör,0,
kom ihåg,remember,Kom ihåg att ta med dig dina skor hem,0,
fel,wrong,det är fel eftersom jag hade fel / it's wrong because I was wrong,0,
stöttar,support,Prästen stöttar honom,0,
lägsta,low / lowest,Är det ert lägsta pris? ,0,
small,små,Ni är små flickor,0,
kunde,could,Hur kunde du? / How could you?,0,
i buy,jag köper,,0,
ask,att fråga,Du frågar,0,
build,bygga,Bygger du hus?,0,
lägga,put/add,Jag lägger till nya vänner / I'm adding new friends,0,
i need,jag behöver,,0,
vänlig,common,Det är en vänlig fråga,0,
Klä av sig,Get undressed,,0,
För att kunna gå vidare,To be able to move on,,0,
yrke,profession / occupation,Vad är ditt yrke,0,
lycka till,good luck,lycka till med utbildning,0,
sedan,then / afterwards / after / since,,0,
förlåt,sorry,Förlåt att jag inte såg er / Sorry I did not see you,0,
mål,objective,Jag har bara ett mål / I only have one goal,0,
beautiful,vacker,Vilken vacker kväll,0,
annars,otherwise,Gå och tvätta dig! Annars får du ingen mat/ Go and wash up! Otherwise you will not get any food,0,
övrig,other / remaining,,0,
egentligen,really,Jag litar egentligen inte på honom/ I do not really trust him,0,
att stå,stand,Jag står,0,
utom,except,Alla utom han vill gå till kyrkan / Everyone except him wants to go to church,0,
att ta,take,Jag tar,0,
allmänhet,generally,älgar är i allmänhet vegetarianer / Moose are generally vegetarians,0,
bedroom,sovrum,,0,
bråttom, in a hurry, Jag har inte bråttom med det här / I'm not in a hurry with this,0,
antog,assume,Hon antog att jag inte talade svenska / She assumed that I did not speak Swedish,0,
Jag vill inte behöva be om det,I do not want to have to ask for it,,0,
i samband,in relation / regarding,,0,
hans tal var både intressant och viktigt,his speach was both interesting and important,,0,
betyda,mean,Vad betyder det här ordet? / What does this word mean?,0,
trivas,enjoy,Hon trivs med sitt arbete / She enjoys her work,0,
reside / dwell / stay / live,att bo,De bor,0,
ibland,sometimes,Ibland vet jag inte varför / Sometimes I do not know why,0,
långt,far,Det är inte långt till Malmö från Köpenhamn / It is not far to Malmö from Copenhagen,0,
use,använd,,0,
i am there (exist),jag finns där,,0,
människa,person,Jag tror att du har skickat fel brev till fel människa / I think you sent the wrong letter to the wrong person,0,
bekväma,convenient / comfortable,sofforna är bekväma / the sofas are comfortable,0,
såklart,of course,Här håller vi såklart avstånd till varandra,0,
förenkla,simplify,,0,
utrymme,space,,0,
choose,välj,vänligen välj kön,0,
att må,feel / may / might,Jag mår,0,
intyg,certificate,dina reseintyg / your travel certificates,0,
att tro,believe,Jag tror | Tro inte på allt hon säger,0,
allmän,common / general,,0,
brukar,usually,Jag brukar betala / I usually pay,0,
åt / ätit,ate / eaten,Har hon ätit dåligt i morse? / Hon åt inte bra i morse / Did she eat badly this morning?,0,
säng,bed,,0,
avresa,depart / leave,före avresan på flyget / before departure on the flight,0,
fattas,be missing,Vad fattas? / What is missing?,0,
study,studera,De studerar språk tillsammans,0,
rätt,right / proper / correct, det är rätt för jag hade rätt / that's correct because I was right,0,
together,tillsammans,De studerar språk tillsammans,0,
leva,lifeve,Leva på öar / Living on islands,0,
aldrig,never,Det regnar aldrig / It never rains,0,
glömde,forgot,Han glömde allt / He forgot everything,0,
bekräfta,confirm,bekräfta ansökan / confirm the application,0,
go / ride / drive,att åka,Jag åker,0,
svårighet,difficulty,Du förstår utan svårighet / You understand without difficulty,0,
bekväm,comfortable,Är din kostym bekväm?,0,
att bli,become / get / be,Ni blir,0,
hit,here,Jag åker alltid hit på söndagarna / I always go here on Sundays,0,
säga,say,,0,
utflykter,trip / excursion,,0,
förstod,understood,Ingen förstod något / No one understood anything,0,
jättebra,great,Det år jättebra,0,
tillräckligt,enough,Han har tillräckligt med böcker / He has enough books,0,
i samband med,in relation with,,0,
jobbig,annoying,Hennes barn är jobbiga / Her children are tiresome,0,
want,vill,,0,
bestämde,decided,Hon bestämde sig för att arbeta mer / She decided to work more,0,
ihåg,remember,Kommer du ihåg mig? / Do you remember me?,0,
leta,look,Vad letar ni efter? / What are you looking for?,0,
genomför,carry out,,0,
hålla med,agree with,Jag håller med / I agree,0,
Han är rädd för att behöva betala för mycket, He is afraid of having to pay too much,,0,
lyckas,succeed,Alla lyckas / Everyone succeeds,0,
vanligtvis,usually,vanligtvis är det så / usually it's like that,0,
litar på,trust,Arbetarna litar inte på chefen / The workers do not trust the boss,0,
valde,chose,Jag valde att studera svenska / I chose to study Swedish,0,
att ge,give,Jag ger,0,
undrar,wonder,Jag undrar varför,0,
skriva under,sign,Hon skriver under brevet / She signs the letter,0,
där,where,I staden där jag bor finns det många träd / In the city where I live there are many trees,0,
skicka,send / forward / dispatch,,0,
snabb,fast,Spring snabbare,0,
litar,trust,Jag litar på att du ger mig ett svar imorgon / I trust you will give me an answer tomorrow,0,
keep distance,håll avstånd,Här håller vi såklart avstånd till varandra,0,
i'll meet you at the restaurant,jag träffar dig på restaurangen,,0,
go / walk,att gå,De går,0,
vänligen,kindly,vänligen välj kön,0,
stämma,agree / correspond, Uppgifterna stämmer / The information is correct,0,
påträffa,find,Vi har påträffat barnet i vattnet / We have found the child in the water,0,
våga,dare,Jag vågar inte berätta för henne att jag älskar henne / I do not dare to tell her that I love her,0,
starka,strong,,0,
fördelarna är fler än nackdelarna,преимущества перевешивают недостатки,,0,
here,här,Bo här,0,
enkel,easy / simple,Tanka enkelt på Comviq eller i vår app,0,
fortfarande,still,Han ser fortfarande inte gammal ut / He still does not look old,0,
think,att tänka,Jag tänker | Tänk inte på mig,0,
trygg,safe,resmålet gör att du kan känna dig trygg / destination allows you to feel safe,0,
Vad håller du på med egentligen?,What are you actually doing?,,0,
känna,feel,Allt känns bra igen / Everything feels good again,0,
utforska,explorer,börja utforska det / start exploring it,0,
faktiskt,actually,Det är faktiskt min son du pratar om / It's actually my son you're talking about,0,
särskilt,especially,Det är viktigt särskilt för mamma,0,
Låna gärna,Feel free to borrow,,0,
vänster,left,,0,
fortsätt,keep,fortsätt läsa / keep reading,0,
precis,just,Jag har precis ringt farfar / I've just called grandpa,0,
take off,ta av,Ta av ytterskorna (outer shoes),0,
än,yet,Hon är inte pilot än / She's not a pilot yet,0,
shirt,skjorta,,0,
överskrida,exceed / override,,0,
made,gjort,Mamma har gjort en soppa / Mom made a soup,0,
våra grannar är artiga människor,our neighbors are polite people,,0,
call,ringa,Varför ringer hon mig inte / Why does she not call me,0,
alls,at all,Det var inte alls vad kungen sa / That was not at all what the king said,0,
Klä på sig,Get dressed,,0,
stugor,cottages,,0,
nå,reach,,0,
ganska,pretty / fairly,Malmö är en ganska stor stad i södra Sverige / Malmö is a fairly large city in southern Sweden,0,
där borta,over there,Det står en varg där borta / There's a wolf over there,0,
fått,got / received,Vi har fått info om ett paket från Clas Ohlson till dig,0,
Ta av dina skor,Take off your shoes,,0,
slut,over / finish,Festen är slut / The party is over,0,
senare,later,Sekreteraren kommer senare / The secretary will come later,0,
